@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.00999948,906
0.009570552,907
0.009465561,908
0.008041057,909
0.0071372027,910
0.008004721,911
0.007334721,912
0.0063136,913
0.006765042,914
0.013929474,915
0.019443104,916
0.0142297195,917
0.012048219,918
0.0079160165,919
0.0050592795,920
0.0062913503,921
0.007121966,922
0.0045694704,923
0.0049844384,924
0.0051673763,925
0.0040249634,926
0.0048005483,927
0.0042998344,928
0.0038576648,929
0.0037567278,930
0.0031307922,931
0.0028723234,932
0.0028015396,933
0.0032141225,934
0.0034726327,935
0.00606534,936
0.013573535,937
0.015253011,938
0.015001137,939
0.014069557,940
0.014488635,941
0.01359834,942
0.014564415,943
0.013585118,944
0.012857892,945
0.0109954355,946
0.0103596365,947
0.0090016555,948
0.008400683,949
0.007908924,950
0.0074317195,951
0.0057812952,952
0.0049087345,953
0.004032315,954
0.0034998513,955
0.003178437,956
0.0030994664,957
0.0031230787,958
0.0028861433,959
0.0029919418,960
0.0026254477,961
0.002543676,962
0.0021073848,963
0.0022157643,964
0.0022080971,965
0.0020564382,966
0.0023898818,967
0.0028635077,968
0.0030593616,969
0.003102465,970
0.0030514575,971
0.0030969419,972
0.0027763941,973
0.0026143754,974
0.0027561495,975
0.0028511558,976
0.0030107193,977
0.0029452832,978
0.0028660072,979
0.0030143491,980
0.0028340926,981
0.002428198,982
0.002488453,983
0.0022544453,984
0.0021680228,985
0.0022081793,986
0.0022048324,987
0.0018698487,988
0.0019215659,989
0.0030929428,990
0.0041254046,991
0.004578469,992
0.0049111387,993
0.0045670536,994
0.004744009,995
0.0046038115,996
0.004365049,997
0.004227245,998
0.0033942286,999
0.0031118246,1000
0.0028576888,1001
0.0021340135,1002
0.0035254518,1003
0.003944732,1004
0.003909534,1005
0.0037791482,1006
0.004131471,1007
0.004394003,1008
0.0045179054,1009
0.0044265306,1010
0.004130135,1011
0.004066853,1012
0.003588995,1013
0.0031529826,1014
0.0030355353,1015
0.002761063,1016
0.00286729,1017
0.0026566903,1018
0.0023109324,1019
0.0022136988,1020
0.0018752733,1021
0.0015574927,1022
0.0019730155,1023
0.0027489453,1024
0.002414918,1025
0.0040129446,1026
0.012613301,1027
0.01680401,1028
0.020338604,1029
0.01943779,1030
0.019294707,1031
0.017718378,1032
0.016760973,1033
0.014728492,1034
0.0095029315,1035
0.008063572,1036
0.007414651,1037
0.009178688,1038
0.011813984,1039
0.012055599,1040
0.010562577,1041
0.009092914,1042
0.008258805,1043
0.0074619325,1044
0.0067147445,1045
0.0061485395,1046
0.0049906676,1047
0.004829324,1048
0.0046320236,1049
0.0041660513,1050
0.003647172,1051
0.0030923553,1052
0.0027658255,1053
0.002605925,1054
0.004627436,1055
0.021064453,1056
0.029341124,1057
0.027778633,1058
0.025571154,1059
0.024811106,1060
0.020785136,1061
0.020772047,1062
0.020148605,1063
0.018934377,1064
0.01578216,1065
0.013277443,1066
0.010940095,1067
0.009066185,1068
0.009093372,1069
0.010009108,1070
0.00895115,1071
0.017434373,1072
0.024716133,1073
0.026933856,1074
0.026501967,1075
0.028068956,1076
0.02673822,1077
0.02435181,1078
0.022260647,1079
0.016844288,1080
