@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.38831943,1209
0.2545722,1210
0.30569667,1211
0.28592962,1212
0.30670002,1213
0.28968793,1214
0.3493647,1215
0.23372564,1216
0.3412694,1217
0.43224818,1218
0.3121565,1219
0.35416174,1220
0.23703806,1221
0.3459557,1222
0.3219356,1223
0.3026129,1224
0.24258494,1225
0.41868296,1226
0.22792171,1227
0.35308695,1228
0.31594345,1229
0.3228826,1230
0.37384933,1231
0.24380864,1232
0.23546648,1233
0.19904342,1234
0.20326564,1235
0.32354927,1236
0.20784265,1237
0.23152386,1238
0.20464693,1239
0.18418981,1240
0.21566181,1241
0.31009877,1242
0.12439877,1243
0.17816454,1244
0.19101207,1245
0.1935379,1246
0.3590445,1247
0.2515226,1248
0.3843327,1249
0.37575972,1250
0.39768595,1251
0.4205101,1252
0.24825868,1253
0.2488045,1254
0.21203831,1255
0.2358813,1256
0.25439268,1257
0.34255356,1258
0.21448508,1259
0.29441604,1260
0.29677245,1261
0.30900297,1262
0.37717143,1263
0.21456431,1264
0.2362463,1265
0.2341385,1266
0.2368283,1267
0.28913623,1268
0.345134,1269
0.35961574,1270
0.42044,1271
0.3978705,1272
0.3478145,1273
0.38938963,1274
0.15752184,1275
0.2424208,1276
0.22024684,1277
0.2209128,1278
0.3546019,1279
0.18779579,1280
0.24161299,1281
0.20347035,1282
0.21121317,1283
0.27517518,1284
0.34140077,1285
0.18466462,1286
0.31870824,1287
0.33945006,1288
0.36175224,1289
0.400923,1290
0.2530266,1291
0.31840685,1292
0.32156125,1293
0.3012967,1294
0.35484326,1295
0.38537732,1296
0.25274396,1297
0.27920258,1298
0.32772502,1299
0.30277464,1300
0.4058947,1301
0.24911773,1302
0.30592662,1303
0.31107447,1304
0.3502281,1305
0.3821326,1306
0.3640716,1307
0.21933892,1308
0.26520917,1309
0.23801488,1310
0.23297778,1311
0.33209178,1312
0.33321375,1313
0.37418044,1314
0.570609,1315
0.51737,1316
0.43562514,1317
0.19947626,1318
0.24811324,1319
0.21126364,1320
0.21816593,1321
0.21482494,1322
0.3783096,1323
0.19761115,1324
0.21111679,1325
0.21358754,1326
0.22952037,1327
0.37231827,1328
0.15769145,1329
0.15228246,1330
0.15241086,1331
0.16340046,1332
0.25685224,1333
0.361483,1334
0.2633944,1335
0.27298647,1336
0.30979106,1337
0.33585438,1338
0.34601763,1339
0.2105016,1340
0.19924076,1341
0.24657631,1342
0.40819523,1343
0.40667456,1344
0.24845177,1345
0.27796257,1346
0.28578553,1347
0.30694315,1348
0.38887817,1349
0.3010683,1350
0.22583438,1351
0.2579324,1352
0.24660845,1353
0.29314393,1354
0.40089265,1355
0.3396,1356
0.3707917,1357
0.3406211,1358
0.30774206,1359
0.38595077,1360
0.22943404,1361
0.2970485,1362
0.21878411,1363
0.22447225,1364
0.33002096,1365
0.31417,1366
0.21053521,1367
0.22527838,1368
0.23719965,1369
0.2409773,1370
0.38809103,1371
0.17488901,1372
0.26319572,1373
0.2279258,1374
0.26835823,1375
0.42204455,1376
0.27861512,1377
0.3541684,1378
0.28629068,1379
0.29144523,1380
0.34260908,1381
0.39518943,1382
0.25031328,1383
0.3001823,1384
0.2765972,1385
0.2897063,1386
0.38035506,1387
0.19675781,1388
0.2821323,1389
0.28862458,1390
0.29569656,1391
0.42705232,1392
0.25115296,1393
0.269298,1394
0.27638838,1395
0.25705004,1396
0.25511262,1397
0.36061725,1398
0.2993383,1399
0.330157,1400
0.32525352,1401
0.33316967,1402
0.37962472,1403
0.17466898,1404
0.25954843,1405
0.21614313,1406
0.18819383,1407
0.22565918,1408
0.29167333,1409
0.20372686,1410
0.25726995,1411
0.25599313,1412
0.27781087,1413
0.3492463,1414
0.23477352,1415
0.33110237,1416
0.31550536,1417
0.2824359,1418
0.3657386,1419
0.2430003,1420
0.41700917,1421
0.3347522,1422
0.34391904,1423
0.418403,1424
0.32899123,1425
0.35743633,1426
0.3719397,1427
0.47331083,1428
0.43853125,1429
0.40343532,1430
0.5035038,1431
0.44843692,1432
0.45878172,1433
0.48447898,1434
0.36971423,1435
0.34907183,1436
0.3441662,1437
0.3792757,1438
0.36228907,1439
0.377658,1440
0.3277392,1441
0.45136124,1442
0.42515847,1443
0.39833447,1444
0.45904356,1445
0.3024634,1446
0.29660413,1447
0.30354157,1448
0.33190444,1449
0.31159148,1450
0.36664376,1451
0.20398498,1452
0.32847792,1453
0.30068457,1454
0.32658705,1455
0.4358824,1456
0.21050225,1457
0.26515186,1458
0.2689729,1459
0.26782912,1460
0.29505846,1461
0.3655649,1462
0.28332496,1463
0.33569452,1464
0.3267306,1465
0.29143465,1466
0.34378937,1467
0.26278478,1468
0.43369156,1469
0.5517348,1470
0.52055377,1471
0.5357588,1472
0.34101716,1473
0.46723324,1474
0.47245428,1475
0.50546056,1476
0.5149949,1477
0.30664572,1478
0.4310201,1479
0.3840502,1480
0.3476465,1481
0.37043017,1482
0.40249744,1483
0.3841352,1484
0.4367534,1485
0.38722602,1486
0.39720702,1487
0.40254167,1488
0.3200667,1489
0.35666284,1490
0.31586134,1491
0.34400114,1492
0.30512327,1493
0.34616333,1494
0.21625489,1495
0.3284162,1496
0.32673067,1497
0.35890466,1498
0.3802374,1499
0.20074247,1500
0.31756702,1501
0.31448215,1502
0.31839353,1503
0.32582062,1504
0.38884276,1505
0.32613865,1506
0.34309703,1507
0.32896864,1508
0.32782614,1509
0.38983366,1510
0.3032581,1511
0.3263594,1512
0.33648938,1513
0.32044864,1514
0.32688987,1515
0.28662553,1516
0.28494754,1517
0.3200073,1518
0.33807564,1519
0.47333542,1520
0.549994,1521
0.35828117,1522
0.34411517,1523
0.44106668,1524
0.4400149,1525
0.40508154,1526
0.39922506,1527
0.25080276,1528
0.45076862,1529
0.41473582,1530
0.45956188,1531
0.41606006,1532
0.28036183,1533
0.33942074,1534
0.33098972,1535
0.32155508,1536
0.30510432,1537
0.34786162,1538
0.26614726,1539
0.35706615,1540
0.33082473,1541
0.4010932,1542
0.24763465,1543
0.26464015,1544
0.27738163,1545
0.27042714,1546
0.36349046,1547
0.20500807,1548
0.3385164,1549
0.3933233,1550
0.2493881,1551
0.30823818,1552
0.31314492,1553
0.3980751,1554
0.21532255,1555
0.34142965,1556
0.2516298,1557
0.19761908,1558
0.2877966,1559
0.43784752,1560
0.42131525,1561
0.440749,1562
0.37235832,1563
0.37434864,1564
0.37746763,1565
0.41486996,1566
0.40179765,1567
0.29222363,1568
0.24305186,1569
0.25501692,1570
0.24466518,1571
0.19506,1572
0.14094415,1573
0.1521819,1574
0.15487914,1575
0.14881429,1576
0.12216879,1577
0.1446843,1578
0.14705054,1579
0.15084551,1580
0.15423867,1581
