@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.1667345,796
0.10702497,797
0.08503441,798
0.049117133,799
0.025925064,800
0.019036315,801
0.014922572,802
0.014778443,803
0.0088133,804
0.11020138,805
0.092032656,806
0.047744945,807
0.022552729,808
0.011479276,809
0.011092918,810
0.009000558,811
0.0070593148,812
0.006181834,813
0.12238304,814
0.08073992,815
0.055433143,816
0.027087877,817
0.017442634,818
0.016151799,819
0.012726804,820
0.011861667,821
0.007363454,822
0.054287434,823
0.11548079,824
0.072025985,825
0.032952778,826
0.01492655,827
0.009454447,828
0.012809583,829
0.008576543,830
0.006902242,831
0.058579672,832
0.13716015,833
0.10789735,834
0.07848192,835
0.045632973,836
0.027229493,837
0.018649362,838
0.013965724,839
0.01416038,840
0.00909954,841
0.11729031,842
0.092949405,843
0.04795509,844
0.020840077,845
0.009901464,846
0.0040414473,847
0.0016338023,848
3.7679853E-4,849
3.4814878E-4,850
0.13286158,851
0.07487093,852
0.05006354,853
0.026947815,854
0.015244047,855
0.016500993,856
0.012197388,857
0.012250712,858
0.0073134196,859
0.06533013,860
0.10633746,861
0.06573826,862
0.031479437,863
0.01364987,864
0.0102589745,865
0.012527744,866
0.0077924835,867
0.006761604,868
0.080306455,869
0.13732259,870
0.10680448,871
0.077994816,872
0.043285623,873
0.025368381,874
0.01830226,875
0.015850905,876
0.011828018,877
0.0094466265,878
0.12773858,879
0.08351796,880
0.042360857,881
0.019245708,882
0.009177801,883
0.0038694693,884
0.0014482095,885
3.766153E-4,886
4.215517E-4,887
0.14203048,888
0.07749741,889
0.047412854,890
0.026694397,891
0.014695409,892
0.016729364,893
0.0112931,894
0.011534759,895
0.007894996,896
0.07579149,897
0.10549706,898
0.062596455,899
0.029946987,900
0.013115884,901
0.011991087,902
0.01038187,903
0.00793818,904
0.0065310975,905
0.09382965,906
0.12769292,907
0.104194015,908
0.072608225,909
0.043001536,910
0.024161331,911
0.017363992,912
0.017428117,913
0.011627889,914
0.015584112,915
0.12035711,916
0.08560037,917
0.041659825,918
0.01820747,919
0.008569532,920
0.0038449087,921
0.0012085706,922
3.754097E-4,923
4.0080884E-4,924
0.1489976,925
0.07369686,926
0.042953085,927
0.025771819,928
0.015288765,929
0.016252268,930
0.011362969,931
0.010739019,932
0.0073907045,933
0.08480426,934
0.10200452,935
0.058107585,936
0.02697207,937
0.012590905,938
0.012716145,939
0.009574865,940
0.007797108,941
0.0068254583,942
0.108777635,943
0.12457927,944
0.10135857,945
0.06962652,946
0.03877252,947
0.024095342,948
0.0166971,949
0.015238418,950
0.012300038,951
0.028332645,952
0.12330538,953
0.07567975,954
0.03777383,955
0.017096259,956
0.009874223,957
0.010530751,958
0.008292605,959
0.0070267036,960
0.006350017,961
0.14916319,962
0.07259678,963
0.042382278,964
0.025772251,965
0.014298648,966
0.015553753,967
0.012145222,968
0.010629424,969
0.0066980477,970
0.09807836,971
0.099585004,972
0.054909606,973
0.024283592,974
0.011984012,975
0.012616,976
0.009618356,977
0.0075224275,978
0.0068593463,979
0.119103126,980
0.12002764,981
0.099073485,982
0.06737099,983
0.035995122,984
0.025095932,985
0.016621679,986
0.014972131,987
0.010879873,988
0.039161455,989
0.11355234,990
0.07776486,991
0.035968952,992
0.016132483,993
0.006702991,994
0.0033808032,995
7.3878304E-4,996
3.6894367E-4,997
0.017082607,998
0.14472917,999
0.069113515,1000
0.039349686,1001
0.024358949,1002
0.013852925,1003
0.015868878,1004
0.01142287,1005
0.011346503,1006
0.006471053,1007
0.10271513,1008
0.09828302,1009
0.048983883,1010
0.022544246,1011
0.011940107,1012
0.012006014,1013
0.009441509,1014
0.007834378,1015
0.00680997,1016
0.13214487,1017
0.12055672,1018
0.09428331,1019
0.06264257,1020
0.03575748,1021
0.02266162,1022
0.016124899,1023
0.015463297,1024
0.009625381,1025
0.05107653,1026
0.11639655,1027
0.06997464,1028
0.033559743,1029
0.014969794,1030
0.005931337,1031
0.0032203658,1032
5.978661E-4,1033
3.6651612E-4,1034
0.045875955,1035
0.12193554,1036
0.06608195,1037
0.039444238,1038
0.023234507,1039
0.015178066,1040
0.0149573535,1041
0.010852661,1042
0.010713292,1043
0.00703224,1044
0.1170411,1045
0.09267904,1046
0.047157746,1047
0.021342903,1048
0.011077383,1049
0.012137199,1050
0.009015057,1051
0.007804859,1052
0.00790365,1053
0.13687503,1054
0.12011653,1055
0.09642553,1056
0.058440097,1057
0.032847743,1058
0.023513284,1059
0.01525381,1060
0.016032275,1061
0.009146774,1062
0.06383704,1063
0.10931875,1064
0.07042487,1065
0.032185912,1066
0.014150964,1067
0.0054520797,1068
0.0030663393,1069
4.7037477E-4,1070
3.4488286E-4,1071
